SYM,DATE,CLOSE,OPEN,MKT,SO,PF,B,RPP,PER,EPS,Y,D,FS,AV,SEC,INDUS,SENT
WAFD,2017-07-03 00:03:13.354450,33.2,33.65,2.97,89.44,88.42,1.05,324.14,17.57,1.89,1.81,0.15,4.07,429.02,10.0,13.0,-0.16601333333333335
WASH,2017-07-03 00:03:13.914867,51.55,52.7,886.97,17.21,14.78,0.99,335.18,18.81,2.74,2.95,0.38,2.94,40.74,10.0,13.0,0.5362357142857144
WFBI,2017-07-03 00:03:14.648871,34.5971,34.61,446.54,12.12,9.19,0.31,410.82,24.41,1.41,0.81,0.07,0.54,60.31,10.0,13.0,0.0
WSBF,2017-07-03 00:03:16.701331,18.85,19.0,553.93,29.39,23.66,0.64,218.23,18.3,1.03,2.55,0.12,2.09,78.44,10.0,54.0,0
WCFB,2017-07-03 00:03:17.417843,10.25,10.253,27.04,2.56,2.37,0.43,214.17,179.82,0.06,1.95,0.05,0.12,1.46,10.0,13.0,0
WDFC,2017-07-03 00:03:18.542256,110.35,110.1,1.55,14.06,13.58,0.85,852.51,31.0,3.56,1.78,0.49,11.49,71.64,12.0,29.0,0.16469285714285714
WEBK,2017-07-03 00:03:19.235750,27.7,27.7,68.83,2.49,1.86,0.11,372.14,21.47,1.29,0.72,0.05,0.04,1.5,10.0,65.0,0.0
WTFC,2017-07-03 00:03:19.958266,76.44,77.45,4.25,51.67,50.88,1.04,297.15,20.33,3.76,0.73,0.14,3.04,595.48,10.0,13.0,0.16766
WETF,2017-07-03 00:03:20.539734,10.17,10.25,1.39,136.61,114.0,2.2,1.02,63.56,0.16,3.15,0.08,23.69,2.47,10.0,45.0,0.15953076923076923
WWD,2017-07-03 00:03:21.496916,67.58,67.53,4.14,61.27,55.19,1.28,300.19,21.59,3.13,0.74,0.13,2.89,301.57,1.0,6.0,0.10324666666666667
ACET,2017-07-03 23:18:36.851754,15.87,15.48,465.06,30.1,29.09,1.25,2.14,30.52,0.52,1.64,0.07,7.91,223.99,2.0,31.0,0.2072266666666667
AHGP,2017-07-03 23:18:38.766294,24.71,24.05,1.42,59.86,23.25,0.75,595.46,7.04,3.51,8.9,0.55,0.88,132.61,1.0,3.0,0.14492
ARLP,2017-07-03 23:18:39.553976,19.45,19.0,1.41,74.6,42.3,0.89,957.77,4.71,4.13,9.0,0.44,2.2,327.61,1.0,3.0,0.20559999999999998
ATLO,2017-07-03 23:18:40.286577,30.95,30.85,284.92,9.31,8.49,1.03,259.28,18.53,1.67,2.84,0.22,1.42,7.39,10.0,13.0,0.3818
AFSI,2017-07-03 23:18:41.053394,15.14,15.13,2.58,171.25,84.41,0.91,716.35,7.28,2.08,4.49,0.17,18.05,3.5,10.0,7.0,0.10818666666666665
ADI,2017-07-03 23:18:42.077551,76.0379,78.27,28.55,367.01,365.42,1.23,400.56,25.98,2.93,2.36,0.45,1.42,4.11,9.0,86.0,-0.4499800000000001
APOG,2017-07-03 23:18:43.045431,57.74,57.16,1.64,28.78,28.06,1.37,206.67,19.84,2.91,0.97,0.14,16.8,290.79,8.0,28.0,0.056633333333333334
AMAT,2017-07-03 23:18:43.629457,41.38,41.33,44.39,1.07,1.07,1.29,774.97,16.88,2.43,0.98,0.1,1.23,9.77,9.0,86.0,0.10309333333333334
ARCB,2017-07-03 23:18:44.330086,21.35,20.75,532.22,25.84,24.9,1.77,248.17,32.85,0.65,1.5,0.08,1.81,257.32,11.0,90.0,0.2135428571428571
BRKR,2017-07-03 23:18:46.208415,28.8,28.97,4.61,159.94,103.87,1.16,270.13,30.64,0.94,0.56,0.04,2.92,715.68,8.0,52.0,0.054766666666666665
BMTC,2017-07-03 23:18:47.449902,42.9,42.55,719.95,16.94,16.28,0.85,317.9,19.95,2.15,1.96,0.21,3.59,67.76,10.0,13.0,0.17759999999999998
CFFI,2017-07-03 23:18:48.294076,47.3,47.0,163.54,3.49,3.23,0.61,182.56,11.92,3.97,2.79,0.33,0.5,5.49,10.0,13.0,0
CHRW,2017-07-03 23:18:49.080734,70.08,69.13,9.68,140.89,139.01,0.78,954.73,19.36,3.62,2.57,0.45,12.01,1.44,11.0,14.0,0.1527666666666667
CCMP,2017-07-03 23:18:49.873504,73.58,74.16,1.86,25.26,24.62,0.99,413.34,23.14,3.18,1.09,0.2,1.36,227.59,9.0,86.0,0.15828
CAC,2017-07-03 23:18:50.619107,44.03,43.04,665.66,15.51,15.1,0.9,269.5,18.16,2.42,2.09,0.23,5.32,47.62,10.0,13.0,0.17737333333333336
CPHC,2017-07-03 23:18:51.379067,11.2,11.175,48.11,4.37,2.57,0.19,61.99,10.98,1.02,2.14,0.06,0.04,2.37,3.0,23.0,0
CASY,2017-07-03 23:18:51.963854,106.92,107.23,4.2,39.18,38.75,0.71,214.39,23.87,4.48,0.97,0.26,11.91,500.22,7.0,19.0,0.13480666666666666
CASS,2017-07-03 23:18:52.648489,66.07,66.21,734.91,11.2,9.09,1.08,119.59,30.03,2.2,1.39,0.23,4.28,25.47,5.0,2.0,0.0
CATY,2017-07-03 23:18:53.386600,38.56,38.13,3.03,79.83,74.6,1.38,480.94,17.29,2.23,2.18,0.21,2.25,435.95,10.0,13.0,0.020261538461538463
CBFV,2017-07-03 23:18:54.086138,25.925,25.925,106.08,4.09,3.69,0.02,196.39,14.65,1.77,3.39,0.22,0.2,4.27,10.0,13.0,0.1476714285714286
CBOE,2017-07-03 23:18:54.675972,91.91,91.83,10.24,112.04,105.18,0.59,1.52,50.22,1.83,1.09,0.25,4.04,1.17,10.0,45.0,0.10763636363636363
CDK,2017-07-03 23:18:55.247842,61.94,62.33,9.01,145.19,144.77,1.08,252.53,31.6,1.96,0.9,0.14,1.88,949.67,5.0,2.0,0.23349999999999996
CHFC,2017-07-03 23:18:55.905446,49.73,48.78,3.44,71.12,70.16,1.03,185.05,22.51,2.21,2.17,0.27,2.51,343.4,10.0,13.0,-0.08196
CHMG,2017-07-03 23:18:56.556727,41.37,40.71,193.49,4.73,3.71,0.39,209.04,19.15,2.16,2.51,0.26,0.91,6.58,10.0,13.0,0.05464
PLCE,2017-07-03 23:18:57.485310,103.9,102.3,1.8,17.66,17.26,0.72,116.3,17.09,6.08,1.54,0.4,25.43,593.53,3.0,38.0,0.17025333333333334
CTBI,2017-07-03 23:18:58.290092,44.9,44.2,772.84,17.67,17.04,0.88,196.89,16.82,2.67,2.85,0.32,1.57,43.05,10.0,13.0,0.6378800000000001
CWBC,2017-07-03 23:18:59.308847,10.105,10.1,81.84,8.1,5.35,0.18,298.18,15.9,0.64,1.58,0.04,0.08,5.17,10.0,13.0,0.04115833333333333
CPSI,2017-07-03 23:19:00.038134,32.0,32.8,443.98,13.54,11.46,0.72,130.85,72.73,0.44,2.5,0.2,31.59,104.72,9.0,68.0,0.15218
CMTL,2017-07-03 23:19:00.778380,19.11,19.0,447.12,23.55,22.68,1.1,273.26,38.22,0.5,2.09,0.1,3.94,261.89,9.0,98.0,-0.009846153846153846
CNMD,2017-07-03 23:19:02.132245,50.77,51.11,1.42,27.87,27.62,0.81,233.0,115.39,0.44,1.58,0.2,3.94,136.67,2.0,93.0,0.042778571428571395
CTWS,2017-07-03 23:19:02.838905,57.0,55.7,641.92,11.56,11.26,0.6,374.35,26.29,2.17,2.09,0.3,2.05,35.91,0.0,91.0,0.016886666666666657
CORE,2017-07-03 23:19:03.736821,33.46,33.29,1.53,46.32,45.13,0.82,1.95,30.61,1.09,1.08,0.09,7.09,271.48,4.0,84.0,0.1792133333333333
COST,2017-07-03 23:19:04.344390,158.8,160.21,70.14,438.68,435.62,0.68,565.53,27.53,5.77,1.26,0.5,1.84,3.14,3.0,0.0,0.057859999999999995
ICBK,2017-07-03 23:19:05.058192,24.69,25.28,159.38,6.64,5.04,0.41,391.39,15.05,1.64,0.97,0.06,1.2,13.52,10.0,13.0,0.23879999999999993
CBRL,2017-07-03 23:19:05.804114,168.45,167.88,4.02,24.04,23.75,0.74,40.12,20.37,8.27,2.85,3.5,17.92,246.24,3.0,66.0,0.15970666666666666
CRWS,2017-07-03 23:19:06.407417,7.15,6.95,69.9,10.03,8.55,0.3,554.44,12.77,0.56,4.48,0.08,0.59,18.45,12.0,55.0,0.3035166666666666
CSGS,2017-07-03 23:19:07.318033,40.7,40.66,1.37,33.79,32.98,0.91,231.64,21.65,1.88,1.94,0.2,1.97,229.33,9.0,68.0,0.20761333333333334
CSX,2017-07-03 23:19:08.006248,54.5,54.75,50.34,922.69,876.68,1.19,419.26,29.78,1.83,1.47,0.2,2.58,7.54,11.0,97.0,0.19651999999999997
FAST,2017-07-03 23:19:08.640515,44.05,43.21,12.59,289.26,287.39,1.06,205.01,25.17,1.75,2.91,0.32,8.46,3.23,3.0,74.0,0.10596666666666668
FBSS,2017-07-03 23:19:09.332392,19.03,19.3,71.61,3.77,3.54,-0.28,175.71,18.66,1.02,2.52,0.12,0.05,1.28,10.0,13.0,0.0
LION,2017-07-03 23:19:09.972973,23.61,22.87,602.48,26.36,21.33,1.02,252.35,13.81,1.71,2.03,0.12,4.58,111.32,10.0,13.0,0.09866666666666667
FISI,2017-07-03 23:19:11.327932,30.45,29.9,433.35,14.54,13.75,0.88,231.08,14.36,2.12,2.76,0.21,0.79,68.12,10.0,13.0,-0.22024
FBNC,2017-07-03 23:19:12.041322,31.62,31.35,770.72,24.66,24.17,0.99,201.67,23.6,1.34,1.01,0.08,2.75,122.01,10.0,13.0,0.2631111111111111
FNLC,2017-07-03 23:19:13.034172,27.68,26.96,292.71,10.82,9.2,0.86,286.6,16.48,1.68,3.47,0.24,1.32,20.84,10.0,13.0,0.17618461538461538
BUSE,2017-07-03 23:19:14.014135,30.16,29.5,1.12,38.21,32.04,0.96,206.96,20.94,1.44,2.39,0.18,2.11,124.77,10.0,13.0,0.14027692307692308
FBIZ,2017-07-03 23:19:15.278939,23.5,23.07,201.21,8.72,8.15,0.52,347.63,14.97,1.57,2.21,0.13,1.03,23.74,10.0,13.0,0.19489333333333334
FCAP,2017-07-03 23:19:16.183764,31.62,31.38,103.98,3.34,3.19,0.22,152.28,15.5,2.04,2.66,0.21,0.06,658.6,10.0,54.0,0.1751
THFF,2017-07-03 23:19:17.023457,48.65,47.45,578.2,12.22,9.71,0.9,172.39,17.42,2.79,2.06,0.5,1.11,30.41,10.0,13.0,0.05805
FFNW,2017-07-03 23:19:17.609001,16.77,16.14,178.01,11.04,8.23,0.55,378.2,19.96,0.84,1.67,0.07,0.98,28.01,10.0,13.0,0.22585000000000002
FGBI,2017-07-03 23:19:18.650029,27.36,27.4,207.27,7.61,3.87,0.23,228.0,14.63,1.87,2.34,0.16,0.23,16.28,10.0,54.0,-0.3182
FHB,2017-07-03 23:19:19.419589,31.2104,30.69,4.27,139.55,52.88,1.03,329.17,19.64,1.59,2.82,0.22,1.6,425.19,10.0,13.0,0.20010666666666663
INBK,2017-07-03 23:19:20.172291,28.6,28.0,182.27,6.5,6.07,0.63,401.42,13.06,2.19,0.84,0.06,1.7,20.73,10.0,13.0,0.015006666666666668
FIBK,2017-07-03 23:19:21.427432,38.1,37.3,2.1,21.92,20.37,1.01,252.79,17.4,2.19,2.52,0.24,4.21,296.12,10.0,13.0,0.20060666666666668
GLBZ,2017-07-03 23:19:22.267492,11.19,10.55,30.13,2.79,2.16,0.13,161.65,27.86,0.4,3.57,0.1,0.07,1.66,10.0,13.0,0
SELF,2017-07-03 23:19:23.132916,4.97,4.935,37.33,7.62,7.17,0.16,266.8,122.41,0.04,5.23,0.07,0.19,14.85,3.0,75.0,0.2157
GMLP,2017-07-03 23:19:24.522087,21.06,20.15,1.42,69.25,48.4,1.09,934.29,7.39,2.85,10.97,0.58,4.3,300.46,3.0,20.0,0.0
MLHR,2017-07-03 23:19:25.203580,30.55,30.5,1.82,59.79,59.09,1.22,300.2,14.08,2.17,2.23,0.17,2.0,349.2,7.0,34.0,0.09147272727272727
HIHO,2017-07-03 23:19:26.063143,3.4499,3.45,13.12,3.8,2.55,0.26,64.48,24.64,0.14,8.12,0.07,0.1,9.38,8.0,69.0,-0.2263
HOMB,2017-07-03 23:19:26.642829,25.54,25.04,3.57,143.43,127.08,1.24,356.17,19.65,1.3,1.41,0.09,6.1,1.03,10.0,13.0,0.08457142857142856
HOPE,2017-07-03 23:19:27.300658,19.16,18.77,2.52,135.25,128.78,1.19,387.66,17.74,1.08,2.51,0.12,1.49,623.88,10.0,13.0,0.5921866666666666
HFBC,2017-07-03 23:19:28.258725,14.4,14.36,96.28,6.72,5.85,0.06,169.69,26.67,0.54,1.39,0.05,0.1,3.28,10.0,13.0,0.10354999999999999
HBNC,2017-07-03 23:19:28.969747,26.66,26.58,584.86,22.2,20.85,0.83,225.0,22.85,1.17,1.95,0.13,1.17,59.83,10.0,13.0,0.21509230769230772
HPT,2017-07-03 23:19:29.846225,29.8,29.19,4.79,164.27,161.62,1.0,4.58,26.0,1.15,6.98,0.52,2.28,626.91,3.0,75.0,0.59242
HSNI,2017-07-03 23:19:30.459229,32.3,31.95,1.67,52.38,31.9,0.95,544.02,15.38,2.1,4.33,0.35,5.96,440.63,3.0,82.0,0.0915
HBAN,2017-07-03 23:19:31.434230,13.75,13.64,14.7,1.09,1.07,1.28,258.61,20.54,0.67,2.33,0.08,1.6,9.5,10.0,13.0,0.12194285714285714
HURC,2017-07-03 23:19:32.197515,35.2,34.8,230.18,6.6,6.14,1.2,301.35,23.05,1.53,1.14,0.1,0.62,22.95,8.0,6.0,0
IBKC,2017-07-03 23:19:32.986579,82.45,82.0,4.15,50.97,50.09,1.08,305.0,19.04,4.33,1.75,0.36,2.07,429.61,10.0,13.0,0.02732
IROQ,2017-07-03 23:19:33.928057,19.49,19.5,78.08,4.0,3.04,0.04,266.8,16.38,1.19,0.82,0.08,0.04,1.92,10.0,54.0,0.18956666666666666
ILG,2017-07-03 23:19:34.761451,27.34,27.6,3.43,124.77,105.46,1.01,154.48,10.16,2.69,2.19,0.15,5.4,1.49,10.0,87.0,0.23572307692307692
IXYS,2017-07-03 23:19:35.619501,16.0,16.6,520.0,31.61,24.68,1.31,321.16,24.62,0.65,1.0,0.04,0.51,194.61,9.0,86.0,0.29798571428571424
LKFN,2017-07-03 23:19:36.403711,47.05,45.89,1.16,25.18,24.09,0.95,340.19,23.96,1.96,1.87,0.22,5.12,75.98,10.0,13.0,0.20011333333333328
LRCX,2017-07-03 23:19:37.653368,139.24,142.71,22.81,161.31,160.63,1.34,962.61,17.77,7.84,1.29,0.45,6.05,2.23,9.0,6.0,-0.07203076923076923
LSTR,2017-07-03 23:19:38.548740,87.4,86.2,3.59,41.93,41.57,0.81,2.7,26.25,3.33,0.41,0.09,3.87,273.66,11.0,90.0,0.12432857142857143
MKTX,2017-07-03 23:19:39.204475,203.39,201.7,7.56,37.59,36.15,1.0,1.0,55.12,3.69,0.65,0.33,1.29,168.72,10.0,45.0,0.01240666666666667
